# Envelope of the raw data
#   MATLAB signal filter envelope(..., 'peak') applied
#   Data scaled to the range from 0 to 1 for the envelope
#   Interpolated to delta t = 0.05 to reduce data
Time;Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8
7.8;0.78867;0.79739;0.84604;0.8397;0.59308;0.56118;0.5117;0.45086
7.85;0.7918;0.79876;0.85307;0.84136;0.59892;0.57285;0.5218;0.46186
7.9;0.79444;0.79995;0.85986;0.84383;0.60407;0.58419;0.5312;0.47182
7.95;0.79666;0.80101;0.86636;0.84721;0.60865;0.59522;0.53996;0.48073
8;0.79848;0.80198;0.87252;0.85155;0.61275;0.60597;0.54813;0.48866
8.05;0.79995;0.80291;0.87834;0.85682;0.61645;0.61645;0.55578;0.49571
8.1;0.80109;0.80382;0.88369;0.86275;0.61979;0.62645;0.5628;0.50183
8.15;0.80201;0.80484;0.889;0.86973;0.62311;0.63676;0.5698;0.50758
8.2;0.80267;0.80595;0.89396;0.87733;0.62629;0.64678;0.5764;0.51264
8.25;0.80312;0.8072;0.89857;0.8854;0.62944;0.65652;0.58265;0.51713
8.3;0.8034;0.80864;0.90284;0.89382;0.63265;0.66597;0.58863;0.52111
8.35;0.80354;0.81031;0.90678;0.90247;0.63601;0.67514;0.59437;0.52469
8.4;0.80359;0.81226;0.9104;0.91122;0.63961;0.68402;0.59993;0.52795
8.45;0.80359;0.81453;0.91372;0.91999;0.64354;0.69263;0.60538;0.53097
8.5;0.80357;0.81715;0.91673;0.92862;0.64786;0.70095;0.61074;0.53383
8.55;0.80356;0.82009;0.91944;0.937;0.65257;0.70896;0.61606;0.53661
8.6;0.80361;0.82331;0.92186;0.94502;0.65762;0.71668;0.62138;0.53938
8.65;0.80374;0.82696;0.9241;0.95292;0.66323;0.72444;0.62694;0.54235
8.7;0.80402;0.83086;0.92605;0.96022;0.66914;0.73189;0.63249;0.54548
8.75;0.80445;0.83497;0.92773;0.96681;0.67531;0.73905;0.63804;0.54886
8.8;0.80509;0.83926;0.92913;0.97259;0.6817;0.74591;0.64356;0.55257
8.85;0.80598;0.84371;0.93027;0.97744;0.68829;0.75247;0.64907;0.55668
8.9;0.80713;0.84828;0.93117;0.98127;0.69502;0.75874;0.65454;0.56127
8.95;0.80859;0.85293;0.93182;0.98395;0.70186;0.76472;0.65998;0.56642
9;0.81039;0.85764;0.93223;0.98541;0.70877;0.7704;0.66536;0.57219
9.05;0.81246;0.86222;0.93241;0.98556;0.71549;0.77563;0.67052;0.57844
9.1;0.81502;0.86713;0.93238;0.9844;0.72271;0.78095;0.67599;0.58591
9.15;0.81791;0.872;0.93212;0.98204;0.72989;0.78599;0.68139;0.59414
9.2;0.82109;0.87681;0.93165;0.97864;0.737;0.79077;0.68669;0.603
9.25;0.82455;0.88152;0.93096;0.97434;0.74401;0.79531;0.69192;0.61242
9.3;0.82825;0.88611;0.93006;0.96931;0.75089;0.79963;0.69706;0.62229
9.35;0.83217;0.89054;0.92898;0.96369;0.75758;0.80372;0.70209;0.63249
9.4;0.83629;0.8948;0.9277;0.95763;0.76407;0.80762;0.70702;0.64295
9.45;0.84057;0.89883;0.92625;0.95128;0.77032;0.81133;0.71182;0.65355
9.5;0.845;0.90263;0.92463;0.94477;0.77629;0.81488;0.71651;0.66422
9.55;0.84948;0.9061;0.92289;0.93835;0.78186;0.8182;0.72098;0.67466
9.6;0.85432;0.90947;0.92094;0.93169;0.78746;0.82157;0.72558;0.68559
9.65;0.85924;0.91249;0.91893;0.92529;0.79276;0.8248;0.73002;0.6963
9.7;0.86421;0.91514;0.91691;0.91931;0.79779;0.8279;0.73429;0.70669
9.75;0.86923;0.91741;0.91494;0.91386;0.8026;0.83089;0.73841;0.71669
9.8;0.87427;0.91924;0.91305;0.9091;0.80719;0.83379;0.74237;0.72619
9.85;0.87929;0.92063;0.9113;0.90515;0.81159;0.8366;0.74614;0.73512
9.9;0.88428;0.92155;0.90974;0.90215;0.81581;0.83934;0.74973;0.74338
9.95;0.88922;0.92197;0.9084;0.90015;0.81989;0.84203;0.75314;0.7509
10;0.89396;0.92189;0.90737;0.89909;0.82373;0.8446;0.75627;0.75742
10.05;0.89884;0.92128;0.90661;0.89885;0.82766;0.84727;0.75936;0.76338
10.1;0.90368;0.92017;0.90623;0.89943;0.83155;0.84996;0.76229;0.76852
10.15;0.90837;0.91861;0.90627;0.90078;0.83538;0.85264;0.76499;0.77285
10.2;0.91289;0.91662;0.90681;0.9028;0.83915;0.85533;0.76748;0.77643
10.25;0.91723;0.91426;0.90786;0.90541;0.84289;0.85803;0.76974;0.77935
10.3;0.92135;0.91156;0.90949;0.90855;0.84662;0.86077;0.77177;0.78167
10.35;0.92526;0.90856;0.91172;0.91214;0.85037;0.86355;0.77357;0.78346
10.4;0.92891;0.9053;0.9146;0.9161;0.85415;0.86638;0.77513;0.78481
10.45;0.9323;0.90182;0.91817;0.92036;0.85797;0.86928;0.77645;0.78577
10.5;0.93533;0.89825;0.92226;0.92472;0.86172;0.87217;0.7775;0.78641
10.55;0.93831;0.89427;0.92722;0.92955;0.86575;0.87532;0.77836;0.78683
10.6;0.94102;0.89017;0.93273;0.93448;0.8698;0.87854;0.77896;0.78705
10.65;0.94349;0.88597;0.9387;0.93945;0.87384;0.88182;0.77928;0.78715
10.7;0.94574;0.88172;0.94506;0.94437;0.87785;0.88512;0.77933;0.78719
10.75;0.94778;0.87745;0.95173;0.94918;0.88183;0.88845;0.7791;0.78724
10.8;0.94963;0.87319;0.95864;0.95382;0.88576;0.8918;0.77859;0.78737
10.85;0.9513;0.86898;0.96572;0.95821;0.88962;0.89514;0.77781;0.78764
10.9;0.95282;0.86485;0.9729;0.9623;0.89341;0.89847;0.77681;0.78812
10.95;0.95419;0.86084;0.98011;0.96601;0.89709;0.90178;0.77563;0.78886
11;0.95542;0.85702;0.98718;0.96927;0.90062;0.90501;0.77436;0.78991
11.05;0.95658;0.85319;0.99451;0.9723;0.90421;0.90835;0.77296;0.79142
11.1;0.95765;0.84959;1.0017;0.97492;0.90765;0.91164;0.77154;0.79337
11.15;0.95862;0.84623;1.0086;0.97716;0.91093;0.91486;0.77016;0.79575
11.2;0.95951;0.84316;1.0152;0.97904;0.91404;0.91799;0.76887;0.7985
11.25;0.96035;0.8404;1.0214;0.98055;0.91696;0.92102;0.76773;0.8016
11.3;0.96113;0.83799;1.0271;0.98174;0.91968;0.92395;0.76679;0.80501
11.35;0.96189;0.83595;1.0324;0.98259;0.92218;0.92676;0.76609;0.80869
11.4;0.96262;0.83431;1.037;0.98315;0.92446;0.92944;0.76569;0.8126
